Contrast	Geneid	log2FoldChange	padj	DEG
84730	Cell1 - Cond1 vs Cond3	Vmn2r-ps36	NA	NA	NS
313562	Cell2 - Cond1 vs Cond4	Gm48053	0.06	NA	NS
343951	Cell2 - Cond2 vs Cond3	Kif9	0.14	0.64679988098448	NS
331967	Cell2 - Cond1 vs Cond4	Gm21477	NA	NA	NS
265867	Cell2 - Cond1 vs Cond3	Gm8032	NA	NA	NS
194119	Cell2 - Cond1 vs Cond2	Mir344h-1	NA	NA	NS
209216	Cell2 - Cond1 vs Cond2	Gm31393	-0.01	NA	NS
51120	Cell1 - Cond1 vs Cond2	AC113075.1	-0.03	NA	NS
166395	Cell2 - Cond1 vs Cond2	Sorbs2	0.57	0.00151899861734484	NS
93198	Cell1 - Cond1 vs Cond3	Gm48205	NA	NA	NS
365939	Cell2 - Cond2 vs Cond3	Gm16118	0.01	NA	NS
207549	Cell2 - Cond1 vs Cond2	Lman2	0.04	NA	NS
373131	Cell2 - Cond2 vs Cond3	Gm48013	NA	NA	NS
168061	Cell2 - Cond1 vs Cond2	Acvr1c	-0.2	0.462039850428461	NS
277094	Cell2 - Cond1 vs Cond4	Dennd5a	2.55	1.97333722375736e-09	Upregulated
155316	Cell1 - Cond2 vs Cond3	1700001F09Rik	-0.03	NA	NS
181862	Cell2 - Cond1 vs Cond2	Gm14253	-0.02	NA	NS
400205	Cell2 - Cond2 vs Cond4	Tinagl1	0.13	0.813296279705517	NS
481390	Cell2 - Cond4 vs Cond3	Gm46369	0	NA	NS
219101	Cell2 - Cond1 vs Cond2	Gm14930	NA	NA	NS
163881	Cell1 - Cond2 vs Cond3	Gm22636	NA	NA	NS
150885	Cell1 - Cond2 vs Cond3	Cep295nl	0	NA	NS
383136	Cell2 - Cond2 vs Cond3	AC147474.1	NA	NA	NS
33232	Cell1 - Cond1 vs Cond2	Gm1943	-0.02	NA	NS
323396	Cell2 - Cond1 vs Cond4	A930027H12Rik	-0.05	NA	NS
466613	Cell2 - Cond4 vs Cond3	Gm44238	0.01	NA	NS
449875	Cell2 - Cond4 vs Cond3	Pnpla7	-0.01	0.983758867156427	NS
85940	Cell1 - Cond1 vs Cond3	Gm10298	-0.02	NA	NS
88142	Cell1 - Cond1 vs Cond3	Gm44960	NA	NA	NS
328982	Cell2 - Cond1 vs Cond4	Gm14718	-0.05	NA	NS
93906	Cell1 - Cond1 vs Cond3	Gm12104	-0.02	NA	NS
58939	Cell1 - Cond1 vs Cond3	Gm34552	1.88	0.00707489500115317	Upregulated
198089	Cell2 - Cond1 vs Cond2	Gm44395	-0.01	NA	NS
258584	Cell2 - Cond1 vs Cond3	Gm28881	0.06	NA	NS
314193	Cell2 - Cond1 vs Cond4	Gm48689	-0.03	NA	NS
141570	Cell1 - Cond2 vs Cond3	Gm6871	0.02	NA	NS
461852	Cell2 - Cond4 vs Cond3	Eif2b4	-0.02	NA	NS
292154	Cell2 - Cond1 vs Cond4	Gm28287	NA	NA	NS
41398	Cell1 - Cond1 vs Cond2	Ighv1-70	-0.01	NA	NS
162988	Cell1 - Cond2 vs Cond3	Mir5116	NA	NA	NS
31212	Cell1 - Cond1 vs Cond2	Calcb	0.04	NA	NS
147237	Cell1 - Cond2 vs Cond3	Gm38642	0	NA	NS
46278	Cell1 - Cond1 vs Cond2	Mir6955	NA	NA	NS
262922	Cell2 - Cond1 vs Cond3	Mir370	NA	NA	NS
311685	Cell2 - Cond1 vs Cond4	4930448E22Rik	0.05	NA	NS
140813	Cell1 - Cond2 vs Cond3	Ceacam5	0.05	NA	NS
23892	Cell1 - Cond1 vs Cond2	Gm43762	NA	NA	NS
450897	Cell2 - Cond4 vs Cond3	Gm38090	0	NA	NS
238809	Cell2 - Cond1 vs Cond3	Gm38399	0.31	NA	NS
38541	Cell1 - Cond1 vs Cond2	Spata22	0.01	NA	NS
114431	Cell1 - Cond2 vs Cond3	Gm43019	3.84	0.00962715061988242	Upregulated
40369	Cell1 - Cond1 vs Cond2	Gm48847	0	NA	NS
98060	Cell1 - Cond1 vs Cond3	Gm33115	-0.01	NA	NS
378494	Cell2 - Cond2 vs Cond3	Gm36245	NA	NA	NS
56340	Cell1 - Cond1 vs Cond3	Rhoc	-1.37	2.10773695495223e-06	Downregulated
213319	Cell2 - Cond1 vs Cond2	2310061N02Rik	0	NA	NS
166685	Cell2 - Cond1 vs Cond2	Slc30a10	-0.25	0.0330173471784495	NS
342208	Cell2 - Cond2 vs Cond3	Elf4	0.21	0.46924420799984	NS
282362	Cell2 - Cond1 vs Cond4	Alkbh2	-0.8	0.112765490645502	NS
146495	Cell1 - Cond2 vs Cond3	Gm27353	0.03	NA	NS
223754	Cell2 - Cond1 vs Cond3	Atg101	-0.79	0.00136252427784498	NS
36963	Cell1 - Cond1 vs Cond2	Usp44	-0.02	NA	NS
192115	Cell2 - Cond1 vs Cond2	Vmn1r60	0	NA	NS
393931	Cell2 - Cond2 vs Cond4	Kcnk4	0.29	0.249624394084196	NS
241156	Cell2 - Cond1 vs Cond3	Gm13992	0.05	NA	NS
173716	Cell2 - Cond1 vs Cond2	Ap2a1	-0.03	0.957308972933476	NS
290405	Cell2 - Cond1 vs Cond4	Rcc1	0.05	0.836990181105937	NS
172411	Cell2 - Cond1 vs Cond2	Lif	0.04	0.921741379110553	NS
119190	Cell1 - Cond2 vs Cond3	Ttc8	0.53	0.236827177556697	NS
9396	Cell1 - Cond1 vs Cond2	Mtmr1	-0.13	0.689131855905878	NS
385482	Cell2 - Cond2 vs Cond3	Gm15057	NA	NA	NS
118517	Cell1 - Cond2 vs Cond3	Gm10268	0.42	0.185556364226648	NS
463922	Cell2 - Cond4 vs Cond3	Baiap2l1	-0.04	NA	NS
314789	Cell2 - Cond1 vs Cond4	Gm11951	-0.12	NA	NS
455043	Cell2 - Cond4 vs Cond3	Ccdc73	0.01	NA	NS
126439	Cell1 - Cond2 vs Cond3	Tbk1	-0.02	0.943466805975967	NS
365165	Cell2 - Cond2 vs Cond3	n-R5s98	0.03	NA	NS
113417	Cell1 - Cond2 vs Cond3	Zfp729b	1.32	0.0019767206084317	Upregulated
230903	Cell2 - Cond1 vs Cond3	Sgsh	0.51	0.313562879586447	NS
163504	Cell1 - Cond2 vs Cond3	Pgr15l	0.02	NA	NS
91042	Cell1 - Cond1 vs Cond3	Gm37307	-0.08	NA	NS
131164	Cell1 - Cond2 vs Cond3	Gm14283	0.03	NA	NS
143738	Cell1 - Cond2 vs Cond3	Pcp2	0	NA	NS
222608	Cell2 - Cond1 vs Cond3	N4bp2l1	-2.55	1.31009090839613e-05	Downregulated
325637	Cell2 - Cond1 vs Cond4	Olfr92	0.02	NA	NS
84462	Cell1 - Cond1 vs Cond3	A930014E10Rik	NA	NA	NS
373627	Cell2 - Cond2 vs Cond3	Ighv9-1	NA	NA	NS
161938	Cell1 - Cond2 vs Cond3	Gm6788	0	NA	NS
138887	Cell1 - Cond2 vs Cond3	Igkv13-85	NA	NA	NS
11257	Cell1 - Cond1 vs Cond2	Derl1	-0.04	0.820224385410796	NS
431395	Cell2 - Cond2 vs Cond4	Gm49029	NA	NA	NS
472710	Cell2 - Cond4 vs Cond3	Psmd7	-0.05	NA	NS
284762	Cell2 - Cond1 vs Cond4	Tyro3	0.48	0.283359939451249	NS
103557	Cell1 - Cond1 vs Cond3	Gm49673	-0.01	NA	NS
379855	Cell2 - Cond2 vs Cond3	Gm30162	0	NA	NS
179844	Cell2 - Cond1 vs Cond2	Ddx31	0	NA	NS
145065	Cell1 - Cond2 vs Cond3	Gm8804	-0.01	NA	NS
217452	Cell2 - Cond1 vs Cond2	Gm17203	0.01	NA	NS
36698	Cell1 - Cond1 vs Cond2	Scamp4	0.05	NA	NS
389907	Cell2 - Cond2 vs Cond4	Csf1	1.69	0.0240925235380789	Upregulated
258236	Cell2 - Cond1 vs Cond3	Gm24710	NA	NA	NS
195103	Cell2 - Cond1 vs Cond2	Olfr715b	0	NA	NS
447654	Cell2 - Cond4 vs Cond3	Srgap3	0.01	0.912352723991646	NS
121747	Cell1 - Cond2 vs Cond3	Mmd2	0.21	0.466777596366372	NS
252217	Cell2 - Cond1 vs Cond3	Gm9392	-0.11	NA	NS
271335	Cell2 - Cond1 vs Cond3	AC122271.3	-0.06	NA	NS
477605	Cell2 - Cond4 vs Cond3	Atp5b	-0.03	NA	NS
151890	Cell1 - Cond2 vs Cond3	Gm26777	-0.01	NA	NS
388893	Cell2 - Cond2 vs Cond4	Gm11240	-1.43	0.00474145931132165	Downregulated
439910	Cell2 - Cond2 vs Cond4	Xlr3e-ps	NA	NA	NS
170339	Cell2 - Cond1 vs Cond2	E030030I06Rik	-0.13	0.806117779694232	NS
104749	Cell1 - Cond1 vs Cond3	CT025671.3	NA	NA	NS
313666	Cell2 - Cond1 vs Cond4	1700023F02Rik	0.03	NA	NS
342618	Cell2 - Cond2 vs Cond3	Rhbdd1	-0.25	0.512637907673888	NS
11265	Cell1 - Cond1 vs Cond2	Gm43031	0.09	0.820710104718824	NS
217355	Cell2 - Cond1 vs Cond2	AC122763.1	0	NA	NS
7906	Cell1 - Cond1 vs Cond2	Prr11	-0.19	0.573352486089199	NS
368763	Cell2 - Cond2 vs Cond3	Gm40645	0.03	NA	NS
122444	Cell1 - Cond2 vs Cond3	Rps26-ps1	0.28	0.534903708986225	NS
158355	Cell1 - Cond2 vs Cond3	Gm27931	NA	NA	NS
351940	Cell2 - Cond2 vs Cond3	Gm22596	0.03	NA	NS
89900	Cell1 - Cond1 vs Cond3	Gm48142	NA	NA	NS
60606	Cell1 - Cond1 vs Cond3	Dynll2	-0.39	0.0413114694132439	NS
336941	Cell2 - Cond2 vs Cond3	Tbc1d20	-0.45	0.0669055534206989	NS
283620	Cell2 - Cond1 vs Cond4	Rbm14	0.4	0.194633406469782	NS
52929	Cell1 - Cond1 vs Cond2	1700121L16Rik	NA	NA	NS
493020	Cell2 - Cond4 vs Cond3	Sf3b2	-0.07	NA	NS
378822	Cell2 - Cond2 vs Cond3	Olfr285	0.09	NA	NS
141927	Cell1 - Cond2 vs Cond3	Gm44708	0.03	NA	NS
266861	Cell2 - Cond1 vs Cond3	Gm49015	NA	NA	NS
117875	Cell1 - Cond2 vs Cond3	Dnah5	0.5	0.143454282344464	NS
106504	Cell1 - Cond1 vs Cond3	AC134830.1	NA	NA	NS
76532	Cell1 - Cond1 vs Cond3	Gm37846	-0.13	NA	NS
416547	Cell2 - Cond2 vs Cond4	Gm4541	NA	NA	NS
146704	Cell1 - Cond2 vs Cond3	D030062O11Rik	-0.02	NA	NS
380528	Cell2 - Cond2 vs Cond3	Mlst8	0	NA	NS
259041	Cell2 - Cond1 vs Cond3	Gm26180	0.06	NA	NS
363337	Cell2 - Cond2 vs Cond3	Gm45129	-0.03	NA	NS
109448	Cell1 - Cond1 vs Cond3	Gm37635	NA	NA	NS
7286	Cell1 - Cond1 vs Cond2	Zfp882	0.21	0.523584535320236	NS
373753	Cell2 - Cond2 vs Cond3	Ighv8-11	NA	NA	NS
66471	Cell1 - Cond1 vs Cond3	Gm45819	-0.37	0.49920024453717	NS
15284	Cell1 - Cond1 vs Cond2	Gm28359	NA	NA	NS
129509	Cell1 - Cond2 vs Cond3	Gm37811	-0.03	NA	NS
471558	Cell2 - Cond4 vs Cond3	Gsr	-0.04	NA	NS
30993	Cell1 - Cond1 vs Cond2	Olfr687	NA	NA	NS
208150	Cell2 - Cond1 vs Cond2	Gm19239	0.01	NA	NS
432730	Cell2 - Cond2 vs Cond4	Klf12	0.04	NA	NS
311776	Cell2 - Cond1 vs Cond4	Gldn	-0.02	NA	NS
312699	Cell2 - Cond1 vs Cond4	Ccr4	0.01	NA	NS
327120	Cell2 - Cond1 vs Cond4	AC161932.1	-0.05	NA	NS
299632	Cell2 - Cond1 vs Cond4	Olfr273	0.06	NA	NS
257276	Cell2 - Cond1 vs Cond3	1700034K08Rik	0.05	NA	NS
418621	Cell2 - Cond2 vs Cond4	Olfr659	0.02	NA	NS
330738	Cell2 - Cond1 vs Cond4	Gm32295	NA	NA	NS
395460	Cell2 - Cond2 vs Cond4	Gm19427	0.3	0.378407700401586	NS
146243	Cell1 - Cond2 vs Cond3	Gm16380	-0.03	NA	NS
392591	Cell2 - Cond2 vs Cond4	Tmprss2	-0.27	0.151581993929033	NS
178860	Cell2 - Cond1 vs Cond2	4930500M09Rik	-0.01	NA	NS
225005	Cell2 - Cond1 vs Cond3	Mrps28	-0.72	0.00978062897232779	NS
345506	Cell2 - Cond2 vs Cond3	Abhd2	-0.03	0.798329435316904	NS
55705	Cell1 - Cond1 vs Cond3	Bmp2	-3.33	1.34710430246989e-11	Downregulated
31368	Cell1 - Cond1 vs Cond2	Apobr	-0.05	NA	NS
239933	Cell2 - Cond1 vs Cond3	Gm13338	NA	NA	NS
309472	Cell2 - Cond1 vs Cond4	Gm15319	-0.01	NA	NS
49313	Cell1 - Cond1 vs Cond2	AC154187.1	0.09	NA	NS
707	Cell1 - Cond1 vs Cond2	Lrmda	1.24	0.000618459914744931	Upregulated
374481	Cell2 - Cond2 vs Cond3	Gm48756	NA	NA	NS
364151	Cell2 - Cond2 vs Cond3	Gm44674	0.05	NA	NS
230076	Cell2 - Cond1 vs Cond3	Nlk	0.37	0.238187783187791	NS
97744	Cell1 - Cond1 vs Cond3	Hist1h4b	0.02	NA	NS
391949	Cell2 - Cond2 vs Cond4	Wdr83	-0.43	0.11383365279589	NS
243041	Cell2 - Cond1 vs Cond3	Gm37576	NA	NA	NS
126003	Cell1 - Cond2 vs Cond3	Tubb2a	-0.03	0.896270923714075	NS
180587	Cell2 - Cond1 vs Cond2	Olfr1009	0	NA	NS
496220	Cell2 - Cond4 vs Cond3	Gm15266	0	NA	NS
286949	Cell2 - Cond1 vs Cond4	Brd7	0.14	0.493694757401841	NS
249586	Cell2 - Cond1 vs Cond3	Gm24990	0.07	NA	NS
91659	Cell1 - Cond1 vs Cond3	Gm34425	-0.21	NA	NS
413275	Cell2 - Cond2 vs Cond4	Gm6272	0.09	NA	NS
262287	Cell2 - Cond1 vs Cond3	Pole2	0.08	NA	NS
391132	Cell2 - Cond2 vs Cond4	Kars	-0.37	0.0698703960087905	NS
207683	Cell2 - Cond1 vs Cond2	Gm47825	0.01	NA	NS
200635	Cell2 - Cond1 vs Cond2	Gm29246	NA	NA	NS
192495	Cell2 - Cond1 vs Cond2	Obox4-ps6	NA	NA	NS
261540	Cell2 - Cond1 vs Cond3	Gm48790	0.04	NA	NS
481874	Cell2 - Cond4 vs Cond3	Mir3070b	0	NA	NS
103827	Cell1 - Cond1 vs Cond3	Vmn2r-ps130	-0.05	NA	NS
465467	Cell2 - Cond4 vs Cond3	Gm44229	0	NA	NS
131088	Cell1 - Cond2 vs Cond3	Prom2	0.1	NA	NS
426159	Cell2 - Cond2 vs Cond4	Gm12331	0.06	NA	NS
68983	Cell1 - Cond1 vs Cond3	Ptafr	-0.79	0.764031798854277	NS
80141	Cell1 - Cond1 vs Cond3	Gm15731	0.18	NA	NS
118103	Cell1 - Cond2 vs Cond3	Gm20604	0.48	0.157516007694158	NS
487325	Cell2 - Cond4 vs Cond3	Trhr	0	NA	NS
164788	Cell1 - Cond2 vs Cond3	Gm34550	NA	NA	NS
163869	Cell1 - Cond2 vs Cond3	Astx3	NA	NA	NS
81911	Cell1 - Cond1 vs Cond3	Gm42884	NA	NA	NS
97502	Cell1 - Cond1 vs Cond3	Gm48493	NA	NA	NS
277661	Cell2 - Cond1 vs Cond4	Bloc1s5	-1.51	4.47602050777251e-05	Downregulated
319452	Cell2 - Cond1 vs Cond4	Gm48199	NA	NA	NS
429923	Cell2 - Cond2 vs Cond4	Gm24195	0	NA	NS
51574	Cell1 - Cond1 vs Cond2	Gm9428	NA	NA	NS
283854	Cell2 - Cond1 vs Cond4	Edc4	0.45	0.215560481498862	NS
298374	Cell2 - Cond1 vs Cond4	Gm42938	-0.03	NA	NS
150895	Cell1 - Cond2 vs Cond3	Gm26888	0.11	NA	NS
418883	Cell2 - Cond2 vs Cond4	4933406I18Rik	0.02	NA	NS
94675	Cell1 - Cond1 vs Cond3	Gm11199	0.15	NA	NS
125507	Cell1 - Cond2 vs Cond3	Ccdc62	-0.09	0.84299683249746	NS
92446	Cell1 - Cond1 vs Cond3	Gm7399	0.08	NA	NS
210658	Cell2 - Cond1 vs Cond2	Gm22764	NA	NA	NS
348447	Cell2 - Cond2 vs Cond3	Gm8173	0.06	NA	NS
305163	Cell2 - Cond1 vs Cond4	Gm43124	-0.05	NA	NS
461291	Cell2 - Cond4 vs Cond3	Gm25880	NA	NA	NS
441266	Cell2 - Cond2 vs Cond4	Gm28921	-0.02	NA	NS
362711	Cell2 - Cond2 vs Cond3	Gm25742	NA	NA	NS
195622	Cell2 - Cond1 vs Cond2	Gm15582	0	NA	NS
196538	Cell2 - Cond1 vs Cond2	Gm5345	0	NA	NS
366331	Cell2 - Cond2 vs Cond3	Olfr24	0.04	NA	NS
123439	Cell1 - Cond2 vs Cond3	Sorbs1	-0.15	0.633787466088701	NS
204785	Cell2 - Cond1 vs Cond2	Gm47482	-0.01	NA	NS
49791	Cell1 - Cond1 vs Cond2	Gm23606	NA	NA	NS
350459	Cell2 - Cond2 vs Cond3	Gad1	0.06	NA	NS
158427	Cell1 - Cond2 vs Cond3	Gm25339	NA	NA	NS
296510	Cell2 - Cond1 vs Cond4	Gm14150	0.2	NA	NS
251683	Cell2 - Cond1 vs Cond3	Tyrobp	0.11	NA	NS
362355	Cell2 - Cond2 vs Cond3	Gm7238	-0.04	NA	NS
88961	Cell1 - Cond1 vs Cond3	Gm15716	-0.01	NA	NS
30060	Cell1 - Cond1 vs Cond2	Gm25074	NA	NA	NS
52705	Cell1 - Cond1 vs Cond2	1700084M14Rik	0.01	NA	NS
149803	Cell1 - Cond2 vs Cond3	4930438A08Rik	0.03	NA	NS
329403	Cell2 - Cond1 vs Cond4	Gm27335	NA	NA	NS
272759	Cell2 - Cond1 vs Cond3	AC124716.2	0.09	NA	NS
260234	Cell2 - Cond1 vs Cond3	Gm12210	NA	NA	NS
142329	Cell1 - Cond2 vs Cond3	6030442E23Rik	0.03	NA	NS
30974	Cell1 - Cond1 vs Cond2	Olfr674-ps1	-0.02	NA	NS
281649	Cell2 - Cond1 vs Cond4	A430105J06Rik	1.52	0.0754518370357108	NS
250004	Cell2 - Cond1 vs Cond3	Gm44206	-0.02	NA	NS
9018	Cell1 - Cond1 vs Cond2	Ipo13	-0.15	0.661693856741894	NS
165259	Cell1 - Cond2 vs Cond3	Gm20802	NA	NA	NS
185462	Cell2 - Cond1 vs Cond2	Gm11234	-0.01	NA	NS
464845	Cell2 - Cond4 vs Cond3	Cbx3	0.01	NA	NS
56674	Cell1 - Cond1 vs Cond3	Fbxo32	2.43	1.81228775802746e-05	Upregulated
277563	Cell2 - Cond1 vs Cond4	Gm37364	2.53	2.11664803061224e-05	Upregulated
361996	Cell2 - Cond2 vs Cond3	Scgb1b14-ps	NA	NA	NS
29446	Cell1 - Cond1 vs Cond2	Gm44748	NA	NA	NS
346843	Cell2 - Cond2 vs Cond3	Sass6	0.03	0.96315868259567	NS
255382	Cell2 - Cond1 vs Cond3	Gm45766	0.07	NA	NS
281005	Cell2 - Cond1 vs Cond4	Aspn	1.63	0.0492453000667478	Upregulated
221853	Cell2 - Cond1 vs Cond3	Celf2	3.29	1.72460755444903e-10	Upregulated
383207	Cell2 - Cond2 vs Cond3	AC117629.1	0.04	NA	NS
268428	Cell2 - Cond1 vs Cond3	Mir615	NA	NA	NS
288222	Cell2 - Cond1 vs Cond4	Nab1	-0.16	0.62373952652102	NS
392335	Cell2 - Cond2 vs Cond4	Gm43258	0.55	0.134015241202073	NS
37429	Cell1 - Cond1 vs Cond2	Kif5a	0.04	NA	NS
497425	Cell2 - Cond4 vs Cond3	Gm28200	NA	NA	NS
75683	Cell1 - Cond1 vs Cond3	Mipep-ps	-0.05	NA	NS
461736	Cell2 - Cond4 vs Cond3	Kmt2c	0	NA	NS
254568	Cell2 - Cond1 vs Cond3	Gm45692	NA	NA	NS
173853	Cell2 - Cond1 vs Cond2	Hscb	-0.08	0.96151313511018	NS
284176	Cell2 - Cond1 vs Cond4	Tbc1d8b	0.44	0.238216907429324	NS
382941	Cell2 - Cond2 vs Cond3	Slc15a3	0.04	NA	NS
37221	Cell1 - Cond1 vs Cond2	Gm48047	NA	NA	NS
292529	Cell2 - Cond1 vs Cond4	Gm28321	0	NA	NS
496322	Cell2 - Cond4 vs Cond3	Gm15169	0	NA	NS
461396	Cell2 - Cond4 vs Cond3	Gatad1	0.01	NA	NS
388574	Cell2 - Cond2 vs Cond4	Gm37204	1.81	0.00197526853962431	Upregulated
178555	Cell2 - Cond1 vs Cond2	Gm47996	0	NA	NS
66358	Cell1 - Cond1 vs Cond3	Ssc4d	-0.37	0.487391242949481	NS
474612	Cell2 - Cond4 vs Cond3	Gm24393	NA	NA	NS
276842	Cell2 - Cond1 vs Cond4	Fmo5	-2.29	4.67299592727133e-18	Downregulated
55992	Cell1 - Cond1 vs Cond3	Cd302	-1.12	2.4987012824939e-08	Downregulated
409671	Cell2 - Cond2 vs Cond4	Acnat1	-0.01	NA	NS
386757	Cell2 - Cond2 vs Cond3	Gm29244	NA	NA	NS
25466	Cell1 - Cond1 vs Cond2	Gm24131	NA	NA	NS
217480	Cell2 - Cond1 vs Cond2	Gm14333	NA	NA	NS
398113	Cell2 - Cond2 vs Cond4	Orai1	0.2	0.617198462452682	NS
329916	Cell2 - Cond1 vs Cond4	Gm14976	-0.01	NA	NS
105300	Cell1 - Cond1 vs Cond3	AC105333.1	-0.01	NA	NS
445535	Cell2 - Cond4 vs Cond3	Gm43429	-0.02	0.749275639145921	NS
292993	Cell2 - Cond1 vs Cond4	Mir8096	NA	NA	NS
302139	Cell2 - Cond1 vs Cond4	Ugt2b1	0.16	NA	NS
153581	Cell1 - Cond2 vs Cond3	Gm5083	-0.05	NA	NS
402331	Cell2 - Cond2 vs Cond4	Gm29155	0.05	NA	NS
266135	Cell2 - Cond1 vs Cond3	Olfr727	0.04	NA	NS
126925	Cell1 - Cond2 vs Cond3	Nras-ps2	0.03	NA	NS
338853	Cell2 - Cond2 vs Cond3	Slc17a5	-0.44	0.176177076477082	NS
50299	Cell1 - Cond1 vs Cond2	AC131709.1	0.01	NA	NS
152589	Cell1 - Cond2 vs Cond3	Ighv2-6	0.03	NA	NS
75008	Cell1 - Cond1 vs Cond3	Gm13880	-0.09	NA	NS
84473	Cell1 - Cond1 vs Cond3	Sox5os1	-0.01	NA	NS
348521	Cell2 - Cond2 vs Cond3	Gm29345	NA	NA	NS
144974	Cell1 - Cond2 vs Cond3	Gm26265	-0.03	NA	NS
467998	Cell2 - Cond4 vs Cond3	Gm6579	0	NA	NS
284332	Cell2 - Cond1 vs Cond4	Gm43792	0.49	0.248481947439518	NS
7688	Cell1 - Cond1 vs Cond2	2310057M21Rik	0.19	0.555859112878881	NS
300136	Cell2 - Cond1 vs Cond4	Dnajc6	0.11	NA	NS
149990	Cell1 - Cond2 vs Cond3	Gm12306	0.01	NA	NS
43030	Cell1 - Cond1 vs Cond2	Gm36966	NA	NA	NS
207647	Cell2 - Cond1 vs Cond2	Gm5084	-0.01	NA	NS
243994	Cell2 - Cond1 vs Cond3	Gm18330	-0.01	NA	NS
1579	Cell1 - Cond1 vs Cond2	Cdc40	0.41	0.0225552000749943	NS
140266	Cell1 - Cond2 vs Cond3	Gm44920	0.02	NA	NS
154093	Cell1 - Cond2 vs Cond3	Gm35618	0.04	NA	NS
843	Cell1 - Cond1 vs Cond2	Bbs5	1.35	0.00185416074178761	Upregulated
217915	Cell2 - Cond1 vs Cond2	Gm25624	NA	NA	NS
186818	Cell2 - Cond1 vs Cond2	Tas1r1	0.03	NA	NS
262477	Cell2 - Cond1 vs Cond3	Gm48709	-0.01	NA	NS
200931	Cell2 - Cond1 vs Cond2	Gm16135	0.02	NA	NS
366902	Cell2 - Cond2 vs Cond3	Gm22540	0	NA	NS
274413	Cell2 - Cond1 vs Cond3	Gm45194	-0.07	NA	NS
215499	Cell2 - Cond1 vs Cond2	Dsg1c	0.02	NA	NS
116531	Cell1 - Cond2 vs Cond3	Fkbp4	-0.31	0.0714793536845249	NS
400148	Cell2 - Cond2 vs Cond4	Alg13	0.12	0.806740030041826	NS
17080	Cell1 - Cond1 vs Cond2	Olfr366	-0.01	NA	NS
342622	Cell2 - Cond2 vs Cond3	Armc10	0.16	0.514275000583257	NS
401300	Cell2 - Cond2 vs Cond4	Kdf1	0.07	0.92049534001746	NS
280654	Cell2 - Cond1 vs Cond4	Rnf180	2.04	0.0384347920142743	Upregulated
466753	Cell2 - Cond4 vs Cond3	1700060C16Rik	0	NA	NS
345228	Cell2 - Cond2 vs Cond3	Dab2ip	-0.05	0.771446633597404	NS
217502	Cell2 - Cond1 vs Cond2	Gm14362	NA	NA	NS
468819	Cell2 - Cond4 vs Cond3	Gm18127	0	NA	NS
3226	Cell1 - Cond1 vs Cond2	Pcgf1	0.45	0.139499913443661	NS
447687	Cell2 - Cond4 vs Cond3	Mknk1	-0.01	0.913269489144214	NS
318990	Cell2 - Cond1 vs Cond4	Hist1h2bf	0.05	NA	NS
200108	Cell2 - Cond1 vs Cond2	Gm25369	NA	NA	NS
492821	Cell2 - Cond4 vs Cond3	Zfp236	0	NA	NS
169128	Cell2 - Cond1 vs Cond2	Sema6a	0.17	0.674334167122066	NS
97797	Cell1 - Cond1 vs Cond3	Prl8a8	-0.05	NA	NS
460944	Cell2 - Cond4 vs Cond3	Gm25732	0	NA	NS
176295	Cell2 - Cond1 vs Cond2	Mif4gd	-0.05	0.995327789539982	NS
266968	Cell2 - Cond1 vs Cond3	Gm18074	0.05	NA	NS
200655	Cell2 - Cond1 vs Cond2	Mir1929	0	NA	NS
84160	Cell1 - Cond1 vs Cond3	Klrb1b	0.07	NA	NS
282104	Cell2 - Cond1 vs Cond4	Thrap3	0.34	0.098304747446492	NS
222480	Cell2 - Cond1 vs Cond3	Camk1	1.4	5.47201434729887e-06	Upregulated
93717	Cell1 - Cond1 vs Cond3	4930512M02Rik	-0.01	NA	NS
6095	Cell1 - Cond1 vs Cond2	Atp6v1e1	0.19	0.406589480632437	NS
137461	Cell1 - Cond2 vs Cond3	Gm43541	0.03	NA	NS
315618	Cell2 - Cond1 vs Cond4	Gucy2e	-0.06	NA	NS
380145	Cell2 - Cond2 vs Cond3	Gm46578	0.18	NA	NS
251111	Cell2 - Cond1 vs Cond3	Mrps36-ps3	-0.01	NA	NS
135724	Cell1 - Cond2 vs Cond3	Gm13064	NA	NA	NS
439082	Cell2 - Cond2 vs Cond4	H2al1o	NA	NA	NS
41352	Cell1 - Cond1 vs Cond2	Ighv1-50	NA	NA	NS
485070	Cell2 - Cond4 vs Cond3	Gm18681	NA	NA	NS
496367	Cell2 - Cond4 vs Cond3	Gm23867	0	NA	NS
273071	Cell2 - Cond1 vs Cond3	Wdr13	0.03	NA	NS
483994	Cell2 - Cond4 vs Cond3	Mctp1	0	NA	NS
135823	Cell1 - Cond2 vs Cond3	Gm43017	-0.07	NA	NS
425371	Cell2 - Cond2 vs Cond4	1700030C12Rik	0.04	NA	NS
274377	Cell2 - Cond1 vs Cond3	Gpr174	0.05	NA	NS
125848	Cell1 - Cond2 vs Cond3	Rara	-0.02	0.879572324551468	NS
395297	Cell2 - Cond2 vs Cond4	Helz2	-0.37	0.360366868886106	NS
202615	Cell2 - Cond1 vs Cond2	Gm12122	0	NA	NS
431196	Cell2 - Cond2 vs Cond4	Gm5458	0.02	NA	NS
329876	Cell2 - Cond1 vs Cond4	Rps12-ps14	NA	NA	NS
468023	Cell2 - Cond4 vs Cond3	Gm24757	NA	NA	NS
